Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_language,owner_type,size,subscribers_count,watchers_count,languages,Number of pull requests open,Number of pull requests merged,Number of pull requests closed,Number of issues open,Number of issues closed,Average time to close a pull request (days),Average time to close an issue (days),Average number of commits per month,Average number of newcomers per month,Average number of forks per month,Average number of stars per month,Size of README (KB),Size of CONTRIBUTING (KB),Size of CODE_OF_CONDUCT (KB),Repository age (months),full_name,distros_present,created_at,exclusion_reasons
geometry_tutorials,ros,ROS geometry_tutorials stack migrated from https://kforge.ros.org/geometry/tutorials/branches,https://github.com/ros/geometry_tutorials,208,36,54,2,,Apache-2.0,False,True,False,False,False,False,,18,148,2010-09-10T07:06:04Z,0,0,0,other,Organization,208,12,36,Python;C++;CMake,1,63,68,1,21,24.71,293.04,0.94,0.16,0.34,0.23,0.0,0.89,0.0,158,ros/geometry_tutorials,humble|jazzy|kilted,2013-01-25T18:54:03Z,inactive_6mo
ign-rviz,ignitionrobotics,ROS 2 visualization using Gazebo Libraries,https://github.com/gazebosim/gz-rviz,387,58,11,13,3d;gazebo;hacktoberfest;ign;ign-gui;ign-rendering;ign-rviz;ignition;ignition-rendering;ignition-rviz;plugin;rendering;robot;robotics;ros;ros2;rviz;visualization,,True,False,False,False,False,True,good first issue,5,81,2020-02-25T14:47:51Z,5,80,0,config,Organization,387,6,58,C++;QML;CMake;Python,3,50,53,10,19,8.21,60.4,1.11,0.07,0.15,0.79,2.69,0.0,0.0,73,gazebosim/gz-rviz,humble|jazzy|kilted,2020-02-27T09:40:32Z,inactive_6mo
imu_pipeline,ros-perception,Transforms sensor_msgs/Imu messages into new coordinate frames using tf,https://github.com/ros-perception/imu_pipeline,122,126,49,2,,,True,False,False,False,False,False,,13,76,2012-12-05T18:32:48Z,1,4,0,docs,Organization,122,10,126,C++;CMake,1,20,23,1,10,336.11,451.97,0.48,0.09,0.31,0.79,0.57,0.0,0.0,159,ros-perception/imu_pipeline,humble|jazzy|kilted,2012-12-05T18:32:48Z,inactive_6mo
pal_hey5,pal-robotics,,https://github.com/pal-robotics/pal_hey5,826,3,1,0,,Apache-2.0,True,True,False,False,False,True,good first issue,11,124,2014-10-29T16:24:40Z,21,1270,0,config,Organization,826,6,3,Python;CMake,0,0,0,0,0,,,4.59,0.63,0.04,0.11,0.17,2.73,0.0,27,pal-robotics/pal_hey5,humble,2023-12-15T10:05:51Z,inactive_6mo
pal_navigation_cfg_public,pal-robotics,,https://github.com/pal-robotics/pal_navigation_cfg_public,161,0,6,3,,Apache-2.0,False,False,False,False,False,True,good first issue,8,142,2019-06-04T11:19:31Z,74,1764,0,config,Organization,161,0,0,Python;CMake,1,0,0,2,0,,,1.75,0.25,0.07,0.0,0.0,0.0,0.0,81,pal-robotics/pal_navigation_cfg_public,humble,2019-06-07T13:59:58Z,inactive_6mo
pal_robotiq_gripper,pal-robotics,,https://github.com/pal-robotics/pal_robotiq_gripper,14293,3,2,0,robotiq-140mm;robotiq-2f;robotiq-2f-85-gripper;robotiq-85mm;robotiq-gripper,,False,False,False,False,False,True,good first issue,5,155,2021-04-09T10:17:41Z,1,1,1,config,Organization,14293,5,3,Python;CMake,0,0,0,0,0,,,2.67,0.12,0.03,0.05,0.0,0.0,0.0,58,pal-robotics/pal_robotiq_gripper,humble,2021-05-07T10:49:12Z,inactive_6mo
raspimouse_slam_navigation_ros2,rt-net,ROS 2 SLAM and Navigation packages for Raspberry Pi Mouse,https://github.com/rt-net/raspimouse_slam_navigation_ros2,60,24,3,2,navigation;raspberry-pi-mouse;ros2;slam,Apache-2.0,True,False,False,False,False,True,good first issue,2,15,2021-11-19T08:26:15Z,1,3,0,docs,Organization,60,2,24,Python;CMake,2,11,13,0,4,4.95,64.9,0.27,0.07,0.05,0.44,6.41,0.0,0.0,55,rt-net/raspimouse_slam_navigation_ros2,humble|jazzy,2021-08-24T06:42:22Z,inactive_6mo
turtlebot4_tutorials,turtlebot,TurtleBot 4 Tutorial packages,https://github.com/turtlebot/turtlebot4_tutorials,15905,8,6,0,,MIT,True,False,False,True,False,True,good first issue,4,42,2022-05-12T20:17:30Z,20,529,0,code,Organization,15905,4,8,Python;C++;CMake,0,6,7,0,4,4.45,100.17,0.91,0.09,0.13,0.17,0.65,0.0,0.0,46,turtlebot/turtlebot4_tutorials,humble,2022-05-02T17:20:54Z,inactive_6mo
open_sound_control_ros,chrisib,,https://github.com/chrisib/open_sound_control_ros,56,0,0,0,,Apache-2.0,True,False,False,False,False,True,good first issue,1,23,2025-03-14T22:52:26Z,14,641,0,code,User,56,1,0,Python;CMake,0,0,0,0,0,,,1.92,0.08,0.0,0.0,9.98,0.0,0.0,12,chrisib/open_sound_control_ros,jazzy,2025-03-14T22:53:17Z,inactive_6mo
aruco_markers,namo-robotics,,https://github.com/namo-robotics/aruco_markers,96,4,2,1,,MIT,True,False,False,False,False,True,good first issue,1,35,2025-01-13T13:16:59Z,2,22,0,docs,Organization,96,1,4,C++;CMake;Dockerfile;Shell,0,1,4,1,1,16.65,0.01,2.5,0.14,0.14,0.29,2.04,0.0,0.0,14,namo-robotics/aruco_markers,humble|jazzy|kilted,2025-01-13T13:16:59Z,inactive_6mo
camera_aravis2,FraunhoferIOSB,ROS2 camera driver for GenICam-based GigEVision and USB3Vision cameras.,https://github.com/FraunhoferIOSB/camera_aravis2,396,41,6,16,,BSD-3-Clause,True,True,False,False,False,False,,3,100,2022-06-10T13:48:17Z,2,555,0,config,Organization,396,6,41,C++;CMake;Python,0,10,12,16,34,90.69,61.64,2.22,0.07,0.13,0.91,25.99,2.51,0.0,45,FraunhoferIOSB/camera_aravis2,humble|jazzy|kilted,2022-06-10T13:48:16Z,inactive_6mo
dynamixel-workbench,ROBOTIS-GIT,"ROS packages for Dynamixel controllers, msgs, single_manager, toolbox, tutorials",https://github.com/ROBOTIS-GIT/dynamixel-workbench,1259,122,196,18,dynamixel;dynamixels-workbench;dynamixelsdk;gui;package;robot;robotis;ros,Apache-2.0,True,False,False,False,False,False,,14,634,2016-07-21T07:43:10Z,3,57,0,config,Organization,1259,18,122,C++;CMake;C,8,150,171,10,216,43.68,227.59,5.47,0.19,1.69,1.05,1.96,0.0,0.0,116,ROBOTIS-GIT/dynamixel-workbench,humble|jazzy|kilted,2016-07-21T07:43:10Z,inactive_6mo
fmi_adapter,boschresearch,Integrating functional mock-up units (FMUs) in ROS nodes,https://github.com/boschresearch/fmi_adapter,819,49,14,10,fmi;keep;robotics;ros,Apache-2.0,True,True,False,False,False,True,good first issue,3,125,2018-12-20T12:05:50Z,1,0,0,docs,Organization,819,11,49,C++;Python;CMake;Modelica,1,1,3,9,5,3.05,86.74,1.36,0.03,0.15,0.53,5.05,4.74,0.0,92,boschresearch/fmi_adapter,humble|jazzy|kilted,2018-07-13T11:38:58Z,inactive_6mo
FogROS2,BerkeleyAutomation,An Adaptive and Extensible Platform for Cloud and Fog Robotics Using ROS 2,https://github.com/BerkeleyAutomation/FogROS2,89371,213,31,25,ros2,Apache-2.0,True,False,False,False,False,True,good first issue,9,341,2022-02-04T22:41:08Z,1,1,0,docs,Organization,89371,7,213,Python;Shell;Dockerfile,8,38,44,17,50,3.35,23.7,6.96,0.2,0.63,4.35,8.85,0.0,0.0,49,BerkeleyAutomation/FogROS2,humble,2022-02-01T20:27:23Z,inactive_6mo
rmw_gurumdds,ros2,Implementation of the ROS middleware interface using GurumNetworks GurumDDS.,https://github.com/ros2/rmw_gurumdds,1025,13,12,2,,Apache-2.0,True,True,False,False,False,True,good first issue,10,268,2019-06-05T05:28:05Z,72,8733,0,code,Organization,1025,3,13,C++;CMake;Shell;C,0,16,16,2,5,0.27,201.79,3.31,0.14,0.15,0.16,2.81,0.62,0.0,81,ros2/rmw_gurumdds,humble|jazzy|kilted,2019-06-05T05:14:53Z,inactive_6mo
